x y z
0.569 0.941 1
0.57 0.932 3
0.571 0.97 1
0.571 0.905 1
0.571 0.929 1
0.571 0.96 1
0.572 0.986 1
0.573 0.938 3
0.573 0.976 1
0.574 0.998 1
0.03 0.141 1
0.574 0.945 1
0.575 0.902 1
0.575 0.927 3
0.576 0.909 1
0.577 0.938 1
0.577 0.991 1
0.578 0.9 1
0.578 0.934 3
0.578 0.905 1
0.579 0.984 1
0.031 0.177 1
0.579 0.998 1
0.58 0.916 3
0.581 0.921 3
0.581 0.989 1
0.582 0.936 1
0.582 0.941 1
0.582 0.948 1
0.582 0.98 1
0.582 0.972 1
0.584 0.959 1
0.033 0.197 3
0.584 0.907 1
0.585 0.991 1
0.585 0.95 3
0.585 0.914 3
0.586 0.918 3
0.586 0.997 1
0.587 0.929 3
0.587 0.967 1
0.588 0.938 3
0.589 0.982 1
0.033 0.134 1
0.59 0.949 3
0.59 0.911 3
0.592 0.953 3
0.592 0.975 1
0.593 0.901 3
0.593 0.926 2
0.593 0.957 1
0.593 0.998 1
0.595 0.965 1
0.596 0.972 1
0.033 0.188 1
0.596 0.959 1
0.598 0.996 1
0.598 0.95 2
0.598 0.916 3
0.598 0.91 2
0.598 0.979 1
0.6 0.916 3
0.6 0.979 1
0.601 0.91 3
0.601 0.934 2
0.033 0.144 1
0.601 0.974 1
0.601 0.971 1
0.602 0.966 1
0.602 0.996 3
0.603 0.984 1
0.603 0.991 1
0.607 0.986 3
0.61 0.972 1
0.61 0.98 1
0.61 0.994 3
0.033 0.153 3
0.613 0.905 2
0.615 0.915 2
0.616 0.984 3
0.616 0.998 3
0.618 0.901 2
0.62 0.913 2
0.621 0.986 3
0.622 0.941 2
0.623 0.978 3
0.623 0.997 3
0.034 0.172 1
0.626 0.994 3
0.628 0.984 1
0.63 0.945 2
0.63 0.998 1
0.631 0.975 1
0.632 0.953 2
0.632 0.987 1
0.632 0.991 1
0.633 0.971 3
0.634 0.982 1
0.035 0.192 3
0.635 0.968 3
0.636 0.992 1
0.636 0.92 2
0.637 0.998 1
0.637 0.972 1
0.637 0.9 2
0.637 0.949 2
0.639 0.915 2
0.64 0.994 1
0.641 0.99 1
0.035 0.112 3
0.081 0.078 1
0.642 0.958 3
0.642 0.978 1
0.643 0.997 1
0.643 0.968 1
0.646 0.948 1
0.647 0.901 2
0.647 0.958 1
0.647 0.988 1
0.647 0.995 1
0.648 0.975 1
0.036 0.166 1
0.648 0.91 2
0.649 0.968 1
0.649 0.981 1
0.651 0.95 1
0.651 0.937 1
0.651 0.965 1
0.653 0.984 1
0.654 0.969 1
0.655 0.951 1
0.655 0.957 1
0.037 0.125 3
0.655 0.975 1
0.657 0.927 3
0.658 0.919 3
0.658 0.94 1
0.659 0.944 1
0.66 0.987 1
0.661 0.95 1
0.661 0.936 1
0.661 0.972 1
0.662 0.923 3
0.037 0.102 3
0.662 0.931 1
0.663 0.916 3
0.663 0.998 1
0.663 0.965 1
0.664 0.912 3
0.664 0.956 1
0.665 0.904 3
0.665 0.949 1
0.665 0.921 1
0.665 0.974 1
0.038 0.133 1
0.665 0.979 1
0.666 0.928 1
0.666 0.953 1
0.666 0.99 1
0.666 0.94 1
0.668 0.97 1
0.669 0.916 1
0.669 0.949 1
0.669 0.958 1
0.67 0.908 3
0.038 0.186 1
0.67 0.933 1
0.67 0.983 1
0.672 0.926 1
0.673 0.942 1
0.673 0.964 1
0.673 0.919 1
0.674 0.982 3
0.674 0.952 1
0.674 0.975 1
0.675 0.904 3
0.039 0.177 1
0.675 0.987 3
0.676 0.91 1
0.676 0.97 1
0.677 0.978 1
0.677 0.901 3
0.678 0.948 3
0.678 0.931 1
0.678 0.96 1
0.679 0.907 3
0.68 0.952 1
0.04 0.113 3
0.682 0.969 1
0.682 0.919 1
0.682 0.988 3
0.683 0.974 1
0.683 0.955 3
0.683 0.912 1
0.683 0.998 3
0.683 0.927 3
0.686 0.994 3
0.687 0.967 1
0.041 0.181 1
0.687 0.998 3
0.687 0.951 3
0.688 0.919 1
0.688 0.959 1
0.688 0.928 1
0.691 0.908 1
0.692 0.956 3
0.692 0.97 3
0.694 0.924 3
0.694 0.992 3
0.041 0.148 1
0.695 0.912 1
0.695 0.906 1
0.696 0.901 1
0.696 0.958 1
0.697 0.972 3
0.697 0.996 3
0.697 0.953 3
0.697 0.963 3
0.698 0.916 1
0.7 0.915 1
0.041 0.138 1
0.081 0.097 3
0.7 0.973 3
0.701 0.961 3
0.701 0.923 3
0.701 0.954 3
0.703 0.997 3
0.703 0.906 1
0.704 0.913 1
0.704 0.919 3
0.705 0.901 1
0.705 0.923 3
0.042 0.171 1
0.706 0.956 3
0.706 0.951 3
0.707 0.961 1
0.708 0.901 1
0.709 0.912 1
0.71 0.921 3
0.711 0.906 1
0.711 0.996 3
0.712 0.963 3
0.712 0.901 1
