x y z
0.334 0.773 3
0.336 0.711 3
0.336 0.72 3
0.337 0.746 3
0.337 0.7 3
0.337 0.75 3
0.337 0.782 3
0.339 0.728 3
0.339 0.778 3
0.34 0.707 3
0.944 0.013 1
0.341 0.77 3
0.341 0.735 3
0.341 0.716 3
0.342 0.727 3
0.343 0.786 3
0.344 0.738 3
0.344 0.73 3
0.345 0.746 3
0.345 0.712 3
0.347 0.718 3
0.946 0.019 1
0.347 0.796 3
0.348 0.763 3
0.349 0.78 3
0.349 0.702 3
0.35 0.726 3
0.352 0.775 3
0.352 0.792 3
0.352 0.767 3
0.353 0.757 3
0.354 0.702 3
0.946 0.034 3
0.355 0.718 3
0.355 0.778 3
0.356 0.711 3
0.356 0.707 3
0.357 0.723 3
0.357 0.738 3
0.358 0.7 3
0.359 0.771 3
0.36 0.709 3
0.361 0.798 3
0.947 0.042 3
0.364 0.741 3
0.364 0.758 3
0.364 0.789 3
0.365 0.769 3
0.365 0.795 3
0.366 0.745 3
0.366 0.73 3
0.367 0.721 3
0.368 0.783 3
0.368 0.715 3
0.948 0.056 3
0.369 0.789 3
0.369 0.735 3
0.37 0.713 3
0.371 0.701 3
0.372 0.717 3
0.373 0.743 3
0.375 0.796 3
0.375 0.747 3
0.376 0.722 3
0.377 0.732 3
0.948 0.067 3
0.377 0.743 3
0.377 0.754 3
0.378 0.728 3
0.378 0.767 3
0.378 0.707 3
0.379 0.798 3
0.382 0.785 3
0.382 0.776 3
0.382 0.727 3
0.382 0.741 3
0.949 0.086 3
0.383 0.769 3
0.384 0.708 3
0.386 0.777 3
0.386 0.724 3
0.387 0.715 3
0.387 0.73 3
0.387 0.743 3
0.39 0.759 3
0.391 0.741 3
0.392 0.751 1
0.949 0.026 3
0.393 0.789 3
0.393 0.704 3
0.394 0.71 3
0.395 0.794 1
0.395 0.726 3
0.396 0.767 3
0.397 0.731 3
0.397 0.787 3
0.398 0.771 3
0.4 0.788 3
0.95 0.007 1
0.401 0.701 3
0.401 0.727 3
0.401 0.771 3
0.402 0.743 1
0.402 0.747 1
0.405 0.721 3
0.406 0.738 3
0.406 0.793 1
0.406 0.778 3
0.407 0.744 1
0.951 0.091 3
0.058 0 1
0.407 0.765 3
0.407 0.787 1
0.407 0.755 3
0.408 0.708 3
0.41 0.768 3
0.411 0.796 1
0.413 0.703 3
0.413 0.737 3
0.413 0.772 3
0.413 0.719 3
0.951 0.002 1
0.414 0.787 1
0.415 0.707 3
0.416 0.732 3
